ALLEE,ALY
ALLEY,ALY
ALLY,ALY
ALY,ALY
ANEX,ANX
ANNEX,ANX
ANNX,ANX
ANX,ANX
ARCADE,ARC
ARC,ARC
AV,AVE
AVE,AVE
AVEN,AVE
AVENU,AVE
AVENUE,AVE
AVN,AVE
AVNU,AVE
AVNUE,AVE
BAYOO,BYU
BAYOU,BYU
BCH,BCH
BEACH,BCH
BEND,BND
BG,BG
BL,BLVD
BLF,BLF
BLUF,BLF
BLUFF,BLF
BLUFFS,BLF
BLV,BLVD
BLVD,BLVD
BND,BND
BOT,BTM
BOTTM,BTM
BOTTOM,BTM
BOUL,BLVD
BOULEVARD,BLVD
BOULV,BLVD
BPS,BYP
BPSS,BYP
BRANCH,BR
BR,BR
BRDGE,BRG
BRG,BRG
BRIDGE,BRG
BRK,BRK
BRNCH,BR
BROOK,BRK
BROOKS,BRK
BTM,BTM
BULEVARD,BLVD
BURG,BG
BURGS,BG
BV,BLVD
BVD,BLVD
BYPA,BYP
BYPAS,BYP
BY,PASS
BYPASS,BYP
BYP,BYP
BYPS,BYP
BYPSS,BYP
BYU,BYU
CAMP,CP
CAN,CYN
CANYN,CYN
CANYON,CYN
CAPE,CPE
CAUSEWAY,CSWY
CAUSWAY,CSWY
CEN,CTR
CENT,CTR
CENTER,CTR
CENTERS,CTR
CENTR,CTR
CENTRE,CTR
CIRC,CIR
CIR,CIR
CIRCL,CIR
CIRCLE,CIR
CIRCLES,CIR
CK,CRK
CLB,CLB
CLF,CLFS
CLFS,CLFS
CLIFF,CLFS
CLIFFS,CLFS
CLUB,CLB
CMP,CP
CNTER,CTR
CNTR,CTR
CNYN,CYN
COR,COR
CORNER,COR
CORNERS,CORS
CORS,CORS
COURSE,CRSE
COURT,CT
COURTS,CTS
COVE,CV
COVES,CV
CP,CP
CPE,CPE
CRCL,CIR
CRCLE,CIR
CR,CRK
CRECENT,CRES
CREEK,CRK
CRESCENT,CRES
CRES,CRES
CRESENT,CRES
CRK,CRK
CROSSING,XING
CRSCNT,CRES
CRSE,CRSE
CRSENT,CRES
CRSNT,CRES
CRSSING,XING
CRSSNG,XING
CRT,CT
CSWY,CSWY
CT,CT
CTR,CTR
CTS,CTS
CV,CV
CYN,CYN
DALE,DL
DAM,DM
DIV,DV
DIVIDE,DV
DL,DL
DM,DM
DR,DR
DRIV,DR
DRIVE,DR
DRIVES,DR
DRV,DR
DVD,DV
DV,DV
ESTATE,EST
ESTATES,EST
EST,EST
ESTS,EST
EXP,EXPY
EXPRESS,EXPY
EXPRESSWAY,EXPY
EXPR,EXPY
EXPW,EXPY
EXPY,EXPY
EXTENSION,EXT
EXT,EXT
EXTN,EXT
EXTNSN,EXT
EXTS,EXT
FALL,FALL
FALLS,FLS
FERRY,FRY
FIELD,FLD
FIELDS,FLDS
FLAT,FLT
FLATS,FLT
FLD,FLD
FLDS,FLDS
FLS,FLS
FLT,FLT
FLTS,FLT
FORD,FRD
FORDS,FRD
FOREST,FRST
FORESTS,FRST
FORGE,FRG
FORGES,FRG
FORG,FRG
FORK,FRK
FORKS,FRKS
FORT,FT
FRD,FRD
FREEWAY,FWY
FREEWY,FWY
FRG,FRG
FRK,FRK
FRKS,FRKS
FRRY,FRY
FRST,FRST
FRT,FT
FRWAY,FWY
FRWY,FWY
FRY,FRY
FT,FT
FWY,FWY
GARDEN,GDNS
GARDENS,GDNS
GARDN,GDNS
GATEWAY,GTWY
GATEWY,GTWY
GATWAY,GTWY
GDN,GDNS
GDNS,GDNS
GLEN,GLN
GLENS,GLN
GLN,GLN
GRDEN,GDNS
GRDN,GDNS
GRDNS,GDNS
GREEN,GRN
GREENS,GRN
GRN,GRN
GROVE,GRV
GROVES,GRV
GROV,GRV
GRV,GRV
GTWAY,GTWY
GTWY,GTWY
HARB,HBR
HARBOR,HBR
HARBORS,HBR
HARBR,HBR
HAVEN,HVN
HAVN,HVN
HBR,HBR
HEIGHT,HTS
HEIGHTS,HTS
HGTS,HTS
HIGHWAY,HWY
HIGHWY,HWY
HILL,HL
HILLS,HLS
HIWAY,HWY
HIWY,HWY
HL,HL
HLLW,HOLW
HLS,HLS
HOLLOW,HOLW
HOLLOWS,HOLW
HOLW,HOLW
HOLWS,HOLW
HRBOR,HBR
HT,HTS
HTS,HTS
HVN,HVN
HWAY,HWY
HWY,HWY
INLET,INLT
INLT,INLT
IS,IS
ISLAND,IS
ISLANDS,ISS
ISLE,ISLE
ISLES,ISLE
ISLND,IS
ISLNDS,ISS
ISS,ISS
JCTION,JCT
JCT,JCT
JCTN,JCT
JCTNS,JCT
JCTS,JCT
JUNCTION,JCT
JUNCTIONS,JCT
JUNCTN,JCT
JUNCTON,JCT
KEY,KY
KEYS,KY
KNL,KNLS
KNLS,KNLS
KNOL,KNLS
KNOLL,KNLS
KNOLLS,KNLS
KY,KY
KYS,KY
LAKE,LK
LAKES,LKS
LA,LN
LANDING,LNDG
LANE,LN
LANES,LN
LCK,LCKS
LCKS,LCKS
LDGE,LDG
LDG,LDG
LF,LF
LGT,LGT
LIGHT,LGT
LIGHTS,LGT
LK,LK
LKS,LKS
LNDG,LNDG
LNDNG,LNDG
LN,LN
LOAF,LF
LOCK,LCKS
LOCKS,LCKS
LODGE,LDG
LODG,LDG
LOOP,LOOP
LOOPS,LOOP
MALL,MALL
MANOR,MNR
MANORS,MNR
MDW,MDWS
MDWS,MDWS
MEADOW,MDWS
